# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = exp2d_pixelated_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = plum.data.R
# init = 2 (Default)
# random
#   seed = 1724050829
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rhalf,ell,x0,y0,paV.1,paV.2,bgdens,objdens
# Adaptation terminated
# Step size = 0.129627
# Diagonal elements of inverse mass matrix:
# 0.0162525, 1.16222, 0.122176, 0.101495, 1.16079, 0.445415, 0.0225654, 0.0644644
-527.678,0.974644,0.129627,3,15,0,531.361,1.61521,0.21723,0.497661,1.15487,0.942657,0.333764,0.00226979,0.584747
-528.04,0.986725,0.129627,5,31,0,532.283,1.432,0.0484021,-0.057076,0.898815,-0.992171,-0.124889,0.00184845,0.683863
-526.407,0.990462,0.129627,5,31,0,532.512,1.52829,0.252957,0.532914,1.09646,-0.681475,-0.731841,0.00205506,0.68094
-526.431,0.900251,0.129627,4,31,0,531.515,1.64736,0.237899,0.285275,1.04196,-0.529051,-0.84859,0.00215117,0.746471
-526.301,1,0.129627,5,31,0,528.6,1.81271,0.245883,0.178541,0.516525,-0.705777,-0.708434,0.0016234,0.524126
-526.32,0.99505,0.129627,5,31,0,528.812,1.88646,0.275627,0.628241,0.655188,-0.918678,-0.395008,0.00253528,0.448729
-526.52,0.92237,0.129627,5,31,0,531.545,2.12456,0.274997,0.492663,1.11392,-0.650718,-0.75932,0.00232885,0.372374
-524.333,0.999619,0.129627,5,31,0,528.05,1.93878,0.415642,-0.119222,0.693135,-0.914734,-0.404057,0.00221878,0.560371
-525.582,0.943181,0.129627,5,31,0,527.153,1.56693,0.149359,0.26957,0.704615,-0.779436,-0.626482,0.00228372,0.736866
-528.184,0.9073,0.129627,4,31,0,533.17,1.98783,0.14987,0.240307,0.823672,-0.824915,-0.565257,0.00251617,0.304957
-527.986,0.893972,0.129627,4,31,0,538.104,2.23963,0.210494,0.315004,0.744859,-0.969361,-0.24564,0.0018303,0.344222
-526.68,0.993301,0.129627,5,31,0,531.184,1.53008,0.244609,-0.0070793,0.755893,-0.911296,-0.411752,0.00248705,0.817434
-526.468,0.861396,0.129627,5,31,0,532.007,1.75286,0.0745572,0.373556,0.89985,-0.760151,-0.649746,0.00188737,0.4562
-525.208,0.99531,0.129627,5,31,0,528.344,1.93297,0.328662,0.177137,0.539346,-0.980772,-0.195155,0.00232987,0.547016
-525.007,0.959254,0.129627,3,7,0,527.942,1.83223,0.232608,0.16211,0.66772,-0.667835,-0.74431,0.00226484,0.482755
-530.826,0.934233,0.129627,4,31,0,532.149,2.10868,0.231872,0.660584,0.566422,-0.969714,-0.244245,0.00161321,0.504485
-528.309,0.996108,0.129627,5,31,0,532.704,1.82447,0.100228,0.00630887,0.996938,-0.734491,-0.678618,0.00223629,0.533852
