# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = regression1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = regr1.data.R
# init = 2 (Default)
# random
#   seed = 2172945814
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.277341
# Diagonal elements of inverse mass matrix:
# 0.000980401, 3.72461e-05, 0.87569
35.1364,0.99845,0.277341,4,15,0,-34.8052,4.99015,10.0019,0.000217236
35.4898,0.996728,0.277341,4,15,0,-34.4406,4.99799,10.0014,0.000241309
35.3945,0.732754,0.277341,3,7,0,-33.9185,5.00168,10.0028,0.000494742
35.9308,1,0.277341,2,3,0,-35.3394,4.99134,10.0007,0.000645146
36.6846,0.990154,0.277341,3,7,0,-35.5945,5.01601,9.99701,0.00120479
37.1021,0.991092,0.277341,3,7,0,-36.0116,5.01106,9.99927,0.00123882
36.1212,0.805626,0.277341,2,3,0,-36.0658,5.01624,10.0002,0.00109981
38.2865,0.970399,0.277341,3,15,0,-36.0959,4.99693,10.0018,0.00426625
37.8642,0.851149,0.277341,1,1,0,-37.8561,5.00007,10.0025,0.00409736
37.9257,0.970451,0.277341,4,15,0,-37.2908,4.98728,10.0037,0.00456887
38.8229,0.999833,0.277341,3,7,0,-37.7118,4.99019,10.0027,0.00895284
38.6784,0.9062,0.277341,4,15,0,-37.0959,5.02312,9.99817,0.0115002
38.8398,0.975517,0.277341,2,3,0,-38.3754,5.01869,9.99731,0.00936575
39.3967,0.939902,0.277341,2,7,0,-38.3338,5.00544,9.99918,0.0130984
38.8858,0.940458,0.277341,3,15,0,-37.4692,4.97376,10.0048,0.0222066
37.789,0.687212,0.277341,2,3,0,-36.8831,4.98529,10.006,0.0167927
34.7673,0.40958,0.277341,2,3,0,-33.6568,4.96473,10.0011,0.0162129
36.2173,0.996469,0.277341,3,15,0,-32.5906,5.01935,10.0019,0.0108344
37.9109,0.948818,0.277341,3,15,0,-34.0048,5.04335,9.99249,0.0198263
37.0027,0.991618,0.277341,3,7,0,-36.8041,5.04514,9.99288,0.0777846
39.1701,1,0.277341,3,7,0,-36.878,5.02757,9.99539,0.0309692
38.7382,0.976626,0.277341,4,15,0,-38.5503,5.01779,9.9958,0.0499371
38.4112,0.822752,0.277341,2,5,0,-35.8251,5.03849,9.99575,0.0220887
38.7553,1,0.277341,3,7,0,-38.0266,5.0354,9.99355,0.0336049
39.4194,0.999646,0.277341,4,15,0,-38.7315,5.018,9.99658,0.0295243
39.2009,0.937757,0.277341,3,11,0,-37.5113,5.00209,10.0021,0.0233225
37.8925,0.826422,0.277341,3,11,0,-37.3163,5.00981,9.99536,0.0178094
36.8343,0.754895,0.277341,1,3,0,-36.0552,5.00456,9.99477,0.021572
37.9035,0.968263,0.277341,2,7,0,-35.1868,5.00615,9.99461,0.0369532
38.4854,1,0.277341,2,3,0,-37.8074,5.00831,9.9953,0.0331995
38.6657,0.925837,0.277341,2,7,0,-37.1013,5.00645,10.0021,0.015641
38.0732,0.902212,0.277341,2,7,0,-37.4032,5.0055,9.99587,0.021189
38.8064,1,0.277341,2,7,0,-37.8651,5.00251,9.99714,0.0229342
37.8834,0.916548,0.277341,4,15,0,-37.1079,4.99692,10.0041,0.0511906
38.013,0.938205,0.277341,2,7,0,-36.7019,4.97548,10.0017,0.0180299
38.013,0.615513,0.277341,1,1,0,-36.5892,4.97548,10.0017,0.0180299
35.8953,0.799351,0.277341,3,9,0,-35.2616,5.03164,10.0003,0.0817955
36.0087,0.962521,0.277341,3,7,0,-34.6208,5.02555,9.99699,0.102339
37.4755,0.891094,0.277341,2,7,0,-32.9649,5.00899,9.99411,0.0652518
38.0199,0.914071,0.277341,2,3,0,-36.0697,5.02378,9.99584,0.0650682
39.1314,1,0.277341,3,7,0,-37.7677,5.00429,9.99898,0.0106848
38.9745,0.872508,0.277341,4,15,0,-37.5567,4.98483,10.0013,0.0178371
38.4491,0.647486,0.277341,2,3,0,-36.326,4.99936,10.0036,0.0353959
36.7293,0.913986,0.277341,3,15,0,-35.189,5.05222,9.99305,0.0144755
37.1282,0.574291,0.277341,2,3,0,-33.3736,5.03482,9.99056,0.0302832
38.1758,0.995489,0.277341,4,15,0,-36.7776,4.97995,10.006,0.0465651
36.4374,0.861147,0.277341,2,3,0,-35.8968,4.98072,10.0087,0.0510373
36.1886,0.989961,0.277341,3,7,0,-36.1493,4.9456,10.003,0.0420587
36.8597,1,0.277341,1,1,0,-36.1714,4.94862,10.0033,0.0436218
38.7079,0.992378,0.277341,3,15,0,-35.1813,5.03488,9.99397,0.0231439
39.1919,0.991274,0.277341,2,7,0,-37.33,5.00949,9.99967,0.0105302
39.6181,0.894338,0.277341,3,15,0,-38.2909,5.00564,10.0002,0.0197676
39.6445,0.996248,0.277341,3,11,0,-39.297,5.00269,10.0006,0.0237391
39.5402,0.996593,0.277341,3,11,0,-39.4664,5.00939,9.99846,0.0171712
38.6385,0.635712,0.277341,2,3,0,-37.9484,5.01493,10.0009,0.0225851
39.561,0.990564,0.277341,2,7,0,-38.1673,5.01195,9.99864,0.01757
